nohup: ignoring input
{'R': 54000,
 'alpha': 10.0,
 'batch_size': 256,
 'cq_lambda': 0.0,
 'dataset': 'cifar10',
 'decay_step': 5000,
 'device': '/gpu:0',
 'finetune_all': True,
 'img_db': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/database.txt',
 'img_model': 'alexnet',
 'img_te': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/test.txt',
 'img_tr': '/home/chenshen/Projects/Hash/DeepHash/CY-DeepHash/data/cifar10/train.txt',
 'label_dim': 10,
 'learning_rate': 5e-05,
 'learning_rate_decay_factor': 0.5,
 'log_dir': 'tflog',
 'loss_type': 'cross_entropy',
 'max_iter': 2000,
 'model_weights': '../../DeepHash/architecture/pretrained_model/reference_pretrain.npy',
 'output_dim': 32,
 'save_dir': './models/',
 'val_batch_size': 100}
initializing
launching session
loading img model from ../../DeepHash/architecture/pretrained_model/reference_pretrain.npy
['hash_layer', 'fc6', 'fc7', 'conv3', 'conv2', 'conv1', 'conv5', 'conv4']
img model loading finished
Initializing Dataset
Dataset already
2019-05-04 21:15:24.259166 #train# start training
2019-05-04 21:15:38.688765 #train# step    1, loss = inf, cross_entropy loss = inf, 8.0 sec/batch
2019-05-04 21:15:40.153802 #train# step    2, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:41.537249 #train# step    3, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:42.977394 #train# step    4, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:44.374104 #train# step    5, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:45.806558 #train# step    6, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:47.196681 #train# step    7, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:48.629731 #train# step    8, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:50.054049 #train# step    9, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:51.504630 #train# step   10, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:52.905877 #train# step   11, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:54.341216 #train# step   12, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:55.741551 #train# step   13, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:15:57.218113 #train# step   14, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:15:58.624148 #train# step   15, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:00.062374 #train# step   16, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:01.475243 #train# step   17, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:02.914230 #train# step   18, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:04.325491 #train# step   19, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:05.690374 #train# step   20, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:07.066342 #train# step   21, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:08.440389 #train# step   22, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:09.786213 #train# step   23, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:11.154416 #train# step   24, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:12.526257 #train# step   25, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:14.010410 #train# step   26, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:15.547677 #train# step   27, loss = nan, cross_entropy loss = inf, 1.5 sec/batch
2019-05-04 21:16:17.059182 #train# step   28, loss = nan, cross_entropy loss = inf, 1.5 sec/batch
2019-05-04 21:16:18.517081 #train# step   29, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:19.960906 #train# step   30, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:21.420776 #train# step   31, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:22.850429 #train# step   32, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:24.339483 #train# step   33, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:25.771948 #train# step   34, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:27.230275 #train# step   35, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:28.691797 #train# step   36, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:30.145850 #train# step   37, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:31.613985 #train# step   38, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:33.001648 #train# step   39, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:34.490327 #train# step   40, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:35.848896 #train# step   41, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:37.393943 #train# step   42, loss = nan, cross_entropy loss = inf, 1.5 sec/batch
2019-05-04 21:16:38.812313 #train# step   43, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:40.249693 #train# step   44, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:41.641480 #train# step   45, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:43.108035 #train# step   46, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:44.515148 #train# step   47, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:45.956876 #train# step   48, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:47.342348 #train# step   49, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:48.763363 #train# step   50, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:50.148641 #train# step   51, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:51.547373 #train# step   52, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:52.912057 #train# step   53, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:55.234121 #train# step   54, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:16:56.622259 #train# step   55, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:58.023982 #train# step   56, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:16:59.444850 #train# step   57, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:00.817154 #train# step   58, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:02.202961 #train# step   59, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:03.606365 #train# step   60, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:04.973043 #train# step   61, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:06.361707 #train# step   62, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:07.710031 #train# step   63, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:09.124891 #train# step   64, loss = nan, cross_entropy loss = inf, 1.4 sec/batch
2019-05-04 21:17:10.478923 #train# step   65, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:11.846177 #train# step   66, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
2019-05-04 21:17:13.219793 #train# step   67, loss = nan, cross_entropy loss = inf, 1.3 sec/batch
